Name	Status	Adm	p1987	p1995	p2001	p2011	p2020
Aachen [Aix-la-Chapelle]	City	NW	229740	247923	245778	236420	248878
Aalen	City	BW	62633	66234	66559	66318	68361
Ahlen	City	NW	52657	55785	55481	52280	52635
Arnsberg	City	NW	74091	78972	77396	74383	73487
Aschaffenburg	CityCR	BY	60964	66360	68361	67359	70858
Augsburg	CityCR	BY	242819	259699	257836	267767	295830
Baden-Baden	CityCR	BW	50127	52745	53084	52314	55449
Bad Homburg vor der Höhe	City	HE	50329	51178	52858	51370	54092
Bad Kreuznach	City	RP	38942	42918	43265	43244	51310
Bad Salzuflen	City	NW	50588	55029	55088	52285	54166
Bamberg	CityCR	BY	69100	69652	69396	70635	76674
Bayreuth	CityCR	BY	69813	73016	74519	70808	74048
Bergheim	City	NW	54545	60610	63591	58922	61749
Bergisch Gladbach	City	NW	100589	105478	105569	108878	111636
Berlin	CityCR	BE	3260000	3471418	3388434	3292365	3664088
Bielefeld	CityCR	NW	305566	324066	323373	326870	333509
Böblingen	City	BW	42589	46516	45940	44859	50121
Bocholt	City	NW	67028	70424	72701	71256	71061
Bochum	CityCR	NW	386271	400395	390087	362286	364454
Bonn	CityCR	NW	276653	291431	306016	305765	330579
Bottrop	CityCR	NW	114640	120642	120780	117311	117388
Brandenburg an der Havel	CityCR	BB	...	86753	77245	71569	72040
Braunschweig [Brunswick]	CityCR	NI	252351	252544	245516	242537	248561
Bremen	CityCR	HB	533455	549357	540950	542707	566573
Bremerhaven	CityCR	HB	126629	130400	118701	108156	113557
Castrop-Rauxel	City	NW	77081	79160	78471	74629	73126
Celle	City	NI	71222	73936	71949	69001	69399
Chemnitz	CityCR	SN	335983	288268	255798	240253	244401
Cottbus (Chóśebuz)	CityCR	BB	...	126343	111125	99984	98693
Darmstadt	CityCR	HE	134272	138980	138457	143499	159174
Delmenhorst	CityCR	NI	72072	78226	76284	73322	77503
Dessau-Roßlau	CityCR	ST	...	107698	97627	86030	79354
Detmold	City	NW	65502	73343	73771	73743	74097
Dinslaken	City	NW	62458	69148	71005	67853	67338
Dormagen	City	NW	54790	61155	63295	62208	64500
Dorsten	City	NW	73744	80735	81293	76860	74515
Dortmund	CityCR	NW	584089	598840	589240	571143	587696
Dresden	CityCR	SN	542252	495424	478631	512354	556227
Duisburg	CityCR	NW	525378	535250	512030	488468	495885
Düren	City	NW	82857	90274	92292	88789	91272
Düsseldorf [Dusseldorf]	CityCR	NW	563531	571030	570765	586291	620523
Erftstadt	City	NW	43939	48717	50998	49230	50060
Erfurt	CityCR	TH	...	211108	200126	200868	213692
Erlangen	CityCR	BY	99808	101406	101912	103719	112385
Eschweiler	City	NW	53058	56171	55257	54671	56172
Essen	CityCR	NW	623427	614861	591889	566201	582415
Esslingen am Neckar	City	BW	90557	90029	90905	86885	92722
Euskirchen	City	NW	47050	52205	54047	55414	58466
Flensburg	CityCR	SH	86554	87276	84480	82258	89934
Frankfurt (Oder)	CityCR	BB	86441	80807	70308	59140	57015
Frankfurt am Main	CityCR	HE	618266	650055	641076	667925	764104
Frechen	City	NW	42348	45583	47382	49657	51947
Freiburg im Breisgau	CityCR	BW	178672	199273	208294	209628	230940
Friedrichshafen	City	BW	51808	56315	57538	56937	61221
Fulda	City	HE	54322	60851	62819	64414	67980
Fürth	CityCR	BY	97480	108418	111257	115613	128223
Garbsen	City	NI	58081	62681	63271	59499	61021
Gelsenkirchen	CityCR	NW	287508	291164	276740	258766	259105
Gera	CityCR	TH	...	123555	109926	96067	92126
Gießen	City	HE	69824	73889	73295	74776	90131
Gladbeck	City	NW	78343	79605	77460	73974	75518
Göppingen	City	BW	52151	58086	57536	55037	57974
Görlitz	City	SN	83215	67980	60264	54441	55784
Goslar	City	NI	57311	57629	55646	51261	50184
Göttingen	City	NI	114698	126253	123822	115843	116845
Greifswald	City	MV	67298	60772	53533	55447	59282
Grevenbroich	City	NW	58611	63604	65039	61741	63941
Gummersbach	City	NW	48250	53149	53355	49951	50978
Gütersloh	City	NW	81804	92842	95459	94172	100664
Hagen	CityCR	NW	209363	212003	202060	187944	188687
Halle (Saale)	CityCR	ST	329625	282784	243045	229153	237865
Hamburg	CityCR	HH	1592770	1707901	1726363	1706696	1852478
Hameln	City	NI	58181	58781	59052	56756	57276
Hamm	CityCR	NW	171170	183408	183805	176037	178967
Hanau	City	HE	83391	88921	88801	86803	97137
Hannover [Hanover]	City	NI	494864	523147	516415	506416	534049
Hattingen	City	NW	55880	58650	58023	54253	54278
Heidelberg	CityCR	BW	127768	138781	141509	146751	158741
Heilbronn	CityCR	BW	110970	121509	120163	116059	126458
Herford	City	NW	60935	65919	65097	65213	66495
Herne	CityCR	NW	174238	179897	174018	155160	156940
Herten	City	NW	67806	69183	66495	61505	61860
Hilden	City	NW	53262	55086	56615	54390	55274
