#http://www.citypopulation.de/en/france/cities/
Name	adm	p1975	p1982	p1990	p1999	p2007	p2015	p2018
Aix-en-Provence	PRO	110659	121327	123842	134222	143404	142668	143097
Amiens	HTF	131476	131332	131872	135501	134737	132874	133891
Angers	PAY	137591	136038	141404	151279	151108	151520	154508
Annecy	ARA	96527	101087	107537	112379	116877	125694	128199
Argenteuil	ILE	102530	95347	93096	93961	102572	110388	110213
Besançon	BFC	120315	113283	113828	117733	117836	116676	116775
Bordeaux	NAQ	223131	208159	210336	215363	235178	249712	257068
Boulogne-Billancourt	ILE	103578	102582	101743	106367	111045	117931	121334
Brest	BRE	166826	156060	147956	149634	142722	139163	139602
Caen	NMD	119640	114068	112846	113987	109630	106260	105512
Clermont-Ferrand	ARA	156763	147224	136181	137140	139501	141398	146734
Dijon	BFC	151705	140942	146703	149867	151543	155114	156854
Grenoble	ARA	166037	156637	150758	153317	156793	160649	157650
Le Havre	NMD	217882	199388	195854	190905	179751	172366	169733
Le Mans	PAY	152285	147697	145502	146105	144164	143325	143252
Lille	HTF	219204	196705	198691	212597	225789	232741	233098
Limoges	NAQ	143725	140418	133486	133994	138882	133627	131479
Lyon	ARA	456716	413095	415487	445452	472330	513275	518635
Marseille	PRO	908600	874436	800550	798430	852395	861635	868277
Metz	GES	111869	114232	119594	123776	123580	117492	116581
Montpellier	OCC	191354	197231	207996	225392	253712	277639	290053
Montreuil	ILE	96587	93368	94754	90674	102097	106691	109914
Mulhouse	GES	117013	112157	108357	110359	111394	110370	108942
Nancy	GES	107902	96317	99351	103605	105349	105162	104885
Nantes	PAY	256693	240539	244995	270251	283025	303382	314138
Nice	PRO	344481	337085	342439	342738	348721	342522	341032
Nîmes	OCC	127933	124220	128471	133424	143468	150672	149633
Orléans	CVL	106246	102710	105111	113126	113234	114644	116238
Paris	ILE	2299830	2176243	2152423	2125246	2193030	2206488	2175601
Perpignan	OCC	106426	111669	105983	105115	116041	121934	119188
Reims	GES	178381	177234	180620	187206	183500	184076	182211
Rennes	BRE	198305	194656	197536	206229	207922	215366	217728
Rouen	NMD	114834	101945	102723	106592	108569	110169	111360
Saint-Denis	ILE	96132	90829	89988	85832	100800	111103	112091
Saint-Étienne	ARA	220181	204955	199396	180210	175318	171057	173089
Strasbourg	GES	253384	248712	252338	264115	272123	277270	284677
Toulon	PRO	181801	179423	167619	160639	166537	167479	176198
Toulouse	OCC	373796	347995	358688	390350	439453	471941	486828
Tours	CVL	140686	132209	129509	132820	136578	136252	136463
Villeurbanne	ARA	116535	115960	116872	124215	138151	148665	150659
